name	patrM	patrF
Нефёд	Нефёдович	Нефёдовна
Никандр	Никандрович	Никандровна
Никанор	Никанорович	Никаноровна
Никита	Никитич	Никитична
Никифор	Никифорович	Никифоровна
Никодим	Никодимович	Никодимовна
Николай	Николаевич	Николаевна
Никон	Никонович	Никоновна
Нил	Нилович	Ниловна
Нифонт	Нифонтович	Нифонтовна
Олег	Олегович	Олеговна
Олимпий	Олимпиевич	Олимпиевна
Онисим	Онисимович	Онисимовна
Онисифор	Онисифорович	Онисифоровна
Онуфрий	Онуфриевич	Онуфриевна
Орест	Орестович	Орестовна
Осип	Осипович	Осиповна
Оскар	Оскарович	Оскаровна
Остап	Остапович	Остаповна
Остромир	Остромирович	Остромировна
Павел	Павлович	Павловна
Павлин	Павлинович	Павлиновна
Паисий	Паисиевич|Паисьевич	Паисиевна|Паисьевна
Палладий	Палладиевич|Палладьевич	Палладиевна|Палладьевна
Памфил	Памфилович	Памфиловна
Памфилий	Памфилиевич|Памфильевич	Памфилиевна|Памфильевна
Панкрат	Панкратович	Панкратовна
Панкратий	Панкратиевич|Панкратьевич	Панкратиевна|Панкратьевна
Пантелей	Пантелеевич	Пантелеевна
Пантелеймон	Пантелеймонович	Пантелеймоновна
Панфил	Панфилович	Панфиловна
Парамон	Парамонович	Парамоновна
Пармен	Парменович	Парменовна
Пармён	Пармёнович	Пармёновна
Парфён	Парфёнович	Парфёновна
Парфений	Парфениевич|Парфеньевич	Парфениевна|Парфеньевна
Парфентий	Парфентиевич|Парфентьевич	Парфентиевна|Парфентьевна
Патрикей	Патрикеевич	Патрикеевна
Патрикий	Патрикиевич	Патрикиевна
Пафнутий	Пафнутиевич|Пафнутьевич	Пафнутиевна|Пафнутьевна
Пахом	Пахомович	Пахомовна
Пахомий	Пахомиевич|Пахомьевич	Пахомиевна|Пахомьевна
Перфилий	Перфилиевич|Перфильевич	Перфилиевна|Перфильевна
Пётр	Петрович	Петровна
Пимен	Пименович	Пименовна
Питирим	Питиримович	Питиримовна
Платон	Платонович	Платоновна
Полиевкт	Полиевктович	Полиевктовна
Полиект	Полиектович	Полиектовна
Поликарп	Поликарпович	Поликарповна
Поликарпий	Поликарпиевич|Поликарпьевич	Поликарпиевна|Поликарпьевна
Порфир	Порфирович	Порфировна
Порфирий	Порфириевич|Порфирьевич	Порфириевна|Порфирьевна
Потап	Потапович	Потаповна
Потапий	Потапиевич|Потапьевич	Потапиевна|Потапьевна
Пров	Прович	Провна
Прокл	Проклович	Прокловна
Прокоп	Прокопович	Прокоповна
Прокопий	Прокопиевич|Прокопьевич	Прокопиевна|Прокопьевна
Прокофий	Прокофиевич|Прокофьевич	Прокофиевна|Прокофьевна
